+++
RED:UKNet.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 12 Long. de Onda:
Probablidad de Bloqueo total de la Red: 0.001364
********************************************************
Origen	Destino	Prob.Bloqueo	Saltos
20	3	0.002334	3.000000
20	4	0.001415	4.000000
20	5	0.002823	3.000000
20	6	0.003716	2.000000
20	7	0.001101	2.000000
20	8	0.000000	1.000000
20	9	0.004353	3.000000
20	10	0.003347	2.000000
20	11	0.003545	3.000000
20	12	0.001923	3.000000
20	13	0.001351	3.000000
20	14	0.002706	2.000000
20	15	0.000083	1.000000
20	16	0.000000	2.000000
20	17	0.000000	2.000000
20	18	0.003600	3.000000
20	19	0.001593	1.000000
20	20	NO TIENE
+++
RED:EuroLarge.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 35 Long. de Onda:
Probablidad de Bloqueo total de la Red: 0.001206
********************************************************
Origen	Destino	Prob.Bloqueo	Saltos
********************************************************
0	0	NO TIENE
0	1	0.000364	7.000000
0	2	0.000000	4.000000
0	3	0.000000	6.000000
0	4	0.000000	2.000000
0	5	0.000000	4.000000
0	6	0.000000	4.000000
0	7	0.000000	3.000000
0	8	0.000000	4.000000
0	9	0.000000	1.000000
0	10	0.000000	6.000000
0	11	0.000000	5.000000
0	12	0.000000	2.000000
0	13	0.000000	2.000000
0	14	0.000000	2.000000
0	15	0.000000	2.000000
0	16	0.000000	1.000000
0	17	0.000000	5.000000
0	18	0.000000	6.000000
0	19	0.000000	1.000000
0	20	0.000000	2.000000
0	21	0.000000	3.000000
0	22	0.000000	5.000000
0	23	0.000360	5.000000
0	24	0.000000	2.000000
0	25	0.000000	4.000000
0	26	0.000000	4.000000
0	27	0.000000	4.000000
0	28	0.000000	4.000000
0	29	0.000000	3.000000
0	30	0.000358	6.000000
0	31	0.000000	3.000000
0	32	0.000000	2.000000
0	33	0.000000	5.000000
0	34	0.000000	3.000000
0	35	0.000000	5.000000
0	36	0.000000	5.000000
0	37	0.000000	6.000000
0	38	0.000000	3.000000
0	39	0.000000	4.000000
0	40	0.000000	3.000000
0	41	0.000000	5.000000
0	42	0.000000	3.000000
1	0	0.000000	7.000000
1	1	NO TIENE
1	2	0.014722	4.000000
1	3	0.000000	1.000000
1	4	0.000000	5.000000
1	5	0.012221	4.000000
1	6	0.000000	3.000000
1	7	0.013037	5.000000
1	8	0.000000	3.000000
1	9	0.000000	6.000000
1	10	0.000000	2.000000
1	11	0.000000	2.000000
1	12	0.000000	5.000000
1	13	0.014545	7.000000
1	14	0.000000	7.000000
1	15	0.000000	5.000000
1	16	0.000000	6.000000
1	17	0.000000	3.000000
1	18	0.011935	6.000000
1	19	0.018545	6.000000
1	20	0.000000	6.000000
1	21	0.011012	4.000000
1	22	0.012825	5.000000
1	23	0.014192	5.000000
1	24	0.011879	7.000000
1	25	0.011607	3.000000
1	26	0.004313	4.000000
1	27	0.000000	4.000000
1	28	0.000000	4.000000
1	29	0.000000	4.000000
1	30	0.000000	1.000000
1	31	0.000000	6.000000
1	32	0.014878	5.000000
1	33	0.011494	5.000000
1	34	0.000000	4.000000
1	35	0.000000	2.000000
1	36	0.000000	2.000000
